--- leave the watch untouched and flat for 180 s ---
  t(s)    yaw     roll    pitch   spikes
    0.3   -0.00   +6.50   -7.00   0
    1.7   +0.00   +6.60   -7.10   0
    2.9   +0.00   +6.50   -7.00   0
    4.2   +0.00   +6.50   -7.00   0
    5.4   +0.10   +6.50   -7.10   0
    6.7   +0.10   +6.50   -7.10   0
    8.0   +0.10   +6.50   -7.00   0
    9.2   +0.10   +6.50   -7.10   0
   10.5   +0.10   +6.50   -7.10   0
   11.8   +0.10   +6.50   -7.00   0
   13.0   +0.10   +6.40   -7.00   0
   14.3   +0.10   +6.50   -6.90   0
   15.6   +0.10   +6.50   -7.00   0
   16.8   +0.10   +6.50   -7.00   0
   18.1   +0.00   +6.50   -7.00   0
   19.4   +0.10   +6.50   -6.90   0
   20.6   +0.10   +6.50   -7.00   0
   21.9   +0.10   +6.50   -7.20   0
   23.2   +0.10   +6.50   -7.40   0
   24.4   +0.10   +6.50   -7.20   0
   25.7   +0.10   +6.50   -7.10   0
   27.0   +0.00   +6.50   -7.00   0
   28.3   -0.00   +6.50   -7.20   0
   29.5   -0.00   +6.50   -7.00   0
   30.8   -0.10   +6.50   -7.20   0
   32.1   -0.10   +6.50   -7.30   0
   33.3   -0.10   +6.50   -7.20   0
   34.6   -0.10   +6.50   -7.10   0
   35.9   -0.10   +6.50   -7.00   0
   37.2   -0.10   +6.50   -7.00   0
   38.4   -0.10   +6.50   -7.00   0
   39.7   -0.10   +6.50   -7.00   0
   40.9   -0.10   +6.50   -7.00   0
   42.2   -0.10   +6.50   -7.10   0
   43.5   -0.10   +6.50   -6.80   0
   44.7   -0.10   +6.50   -6.90   0
   46.1   -0.10   +6.50   -7.00   0
   47.4   -0.10   +6.50   -7.00   0
   48.7   -0.10   +6.50   -7.10   0
   49.9   -0.10   +6.50   -7.10   0
   51.3   -0.00   +6.50   -7.10   0
   52.6   -0.00   +6.50   -7.10   0
   53.8   -0.00   +6.50   -7.20   0
   55.1   -0.00   +6.50   -7.10   0
   56.5   +0.00   +6.50   -7.20   0
   57.8   -0.00   +6.40   -7.20   0
   59.0   +0.00   +6.40   -7.10   0
   60.3   +0.00   +6.50   -7.10   0
   61.7   -0.10   +6.50   -6.90   0
   63.0   -0.10   +6.50   -7.00   0
   64.2   -0.10   +6.50   -7.00   0
   65.5   -0.10   +6.50   -7.00   0
   66.8   -0.20   +6.50   -7.00   0
   68.0   -0.10   +6.50   -7.10   0
   69.3   -0.10   +6.50   -7.10   0
   70.6   -0.00   +6.40   -7.10   0
   71.8   -0.00   +6.50   -7.00   0
   73.1   +0.00   +6.40   -7.00   0
   74.3   +0.00   +6.40   -7.10   0
   75.6   +0.10   +6.40   -6.70   0
   76.9   +0.10   +6.40   -6.90   0
   78.1   +0.10   +6.50   -7.10   0
   79.4   +0.10   +6.40   -6.90   0
   80.7   +0.00   +6.50   -7.00   0
   81.9   +0.00   +6.50   -7.00   0
   83.2   +0.10   +6.50   -7.20   0
   84.5   +0.10   +6.50   -7.10   0
   85.7   +0.10   +6.50   -7.10   0
   87.0   +0.10   +6.50   -7.10   0
   88.3   +0.10   +6.50   -6.90   0
   89.6   +0.20   +6.50   -7.00   0
   90.9   +0.10   +6.50   -6.90   0
   92.1   +0.10   +6.50   -6.90   0
   93.4   +0.10   +6.50   -7.00   0
   94.7   +0.10   +6.40   -6.90   0
   95.9   +0.10   +6.50   -6.80   0
   97.2   +0.10   +6.50   -7.10   0
   98.5   +0.10   +6.50   -7.10   0
   99.7   +0.00   +6.50   -6.90   0
  101.0   +0.00   +6.50   -7.10   0
  102.2   +0.00   +6.50   -7.20   0
  103.5   +0.00   +6.50   -7.30   0
  104.8   +0.00   +6.50   -7.10   0
  106.0   +0.10   +6.50   -7.10   0
  107.3   +0.10   +6.50   -7.20   0
  108.6   +0.00   +6.50   -7.30   0
  109.8   +0.00   +6.50   -7.20   0
  111.1   +0.00   +6.50   -7.40   0
  112.4   +0.00   +6.50   -7.30   0
  113.7   +0.10   +6.50   -7.20   0
  114.9   +0.10   +6.50   -7.50   0
  116.2   +0.10   +6.50   -7.50   0
  117.5   +0.10   +6.50   -7.20   0
  118.9   -0.00   +6.50   -7.20   0
  120.2   -0.00   +6.50   -7.30   0
  121.4   -0.00   +6.50   -7.20   0
  122.7   -0.00   +6.50   -7.20   0
  124.0   -0.10   +6.50   -7.20   0
  125.3   -0.10   +6.50   -7.30   0
  126.6   -0.00   +6.50   -7.20   0
  127.8   +0.00   +6.50   -6.90   0
  129.2   +0.00   +6.50   -7.00   0
  130.5   +0.00   +6.50   -6.90   0
  131.7   +0.00   +6.50   -7.00   0
